_id	data	hora	natureza_acidente	situacao	bairro	endereco	numero	detalhe_endereco_acidente	complemento	endereco_cruzamento	numero_cruzamento	referencia_cruzamento	bairro_cruzamento	tipo	descricao	auto	moto	ciclom	ciclista	pedestre	onibus	caminhao	viatura	outros	vitimas	vitimasfatais
1	2016-01-01T00:00:00	00:58:00	SEM VÍTIMA	FINALIZADA	IPUTINGA	AV JORNALISTA POSSIDONIO CAVALCANTI BASTOS	""	""	PROX A PONTE DA SALVAÇAO	AV JORNALISTA POSSIDONIO CAVALCANTI BASTOS	0	PROX A PONTE DA SALVAÇAO	IPUTINGA	COLISÃO	COLISAO ENTRE UMA VIATUA E UM CAMINHAO S/V	1						1			0	
2	2016-01-01T00:00:00	01:23:00	SEM VÍTIMA	FINALIZADA	BOA VIAGEM	AV ENGENHEIRO DOMINGOS FERREIRA	""	""	EM FRENTE AO SUPERMERCADO EXTRA,NO SEMAFORO 380	AV ENGENHEIRO DOMINGOS FERREIRA	0	EM FRENTE AO SUPERMERCADO EXTRA,NO SEMAFORO 380	BOA VIAGEM	COLISÃO	COLISAO ENTRE DOIS AUTO S/V	2									0	
3	2016-01-01T00:00:00	01:42:00	SEM VÍTIMA	CANCELADA	JORDÃO	RUA DR ALVARO FERRAZ	20	""	PROX A PRAÇA DO JORDAO DE BAIXO	RUA DR ALVARO FERRAZ	20	PROX A PRAÇA DO JORDAO DE BAIXO	JORDÃO	COLISÃO	COLISAO ENTRE DOIS AUTO S/V	2									0	
4	2016-01-01T00:00:00	03:08:00	SEM VÍTIMA	FINALIZADA	IBURA	AV JORNALISTA COSTA PORTO	1080	""	PROX A ASSEMBLEIA DE DEUS, SENTIDO ALTO DOIS CARNEIROS	AV JORNALISTA COSTA PORTO	1080	PROX A ASSEMBLEIA DE DEUS, SENTIDO ALTO DOIS CARNEIROS	IBURA	COLISÃO	COLISAO ENTRE DOIS CARROS S/V	2									0	
5	2016-01-01T00:00:00	05:34:00	COM VÍTIMA	CANCELADA	PAISSANDU	AV GOVERNADOR AGAMENON MAGALHAES	""	""	EM FRENTE AO EDFICIO EMPRESARIAL ISACK NILTON, AV GOVERNADOR AGAMENON MAGALHAES NO CRUZAMENTO COM A RUA DOTOR RURAIS DE FORA	AV GOVERNADOR AGAMENON MAGALHAES	0	EM FRENTE AO EDFICIO EMPRESARIAL ISACK NILTON, AV GOVERNADOR AGAMENON MAGALHAES NO CRUZAMENTO COM A RUA DOTOR RURAIS DE FORA	PAISSANDU	CHOQUE	MOTO CHOCOU-SE CONTRA A CALÇADA, COM VITIMA		1								1	
6	2016-01-01T00:00:00	07:26:00	COM VÍTIMA	FINALIZADA	CABANGA	AV SUL	""	""	NO SEMAFORO Nº260	AV SUL	0	NO SEMAFORO Nº260	CABANGA	COLISÃO	COL.C/V,SET.CD	1		1							1	
7	2016-01-01T00:00:00	07:29:00	SEM VÍTIMA	FINALIZADA	BOA VIAGEM	AV ENGENHEIRO DOMINGOS FERREIRA	""	""	E/F FARMÁCIA DO TRABALHADOR, NO LADO DIREITO DA VIA. (NO SEMÁFORO Nº 216)	AV ENGENHEIRO DOMINGOS FERREIRA	0	E/F FARMÁCIA DO TRABALHADOR, NO LADO DIREITO DA VIA. (NO SEMÁFORO Nº 216)	BOA VIAGEM	COLISÃO	SEM VÍTIMAS	1					1				0	
8	2016-01-01T00:00:00	09:31:00	SEM VÍTIMA	CANCELADA	CAJUEIRO	RUA CORONEL URBANO RIBEIRO DE SENA	11	""	RUA DA RADIO CAPIBARIBE	RUA CORONEL URBANO RIBEIRO DE SENA	11	RUA DA RADIO CAPIBARIBE	CAJUEIRO	COLISÃO	COLISÃO SEM VITIMA	1	1								0	
9	2016-01-01T00:00:00	07:41:00	SEM VÍTIMA	FINALIZADA	IMBIRIBEIRA	AV MARECHAL MASCARENHAS DE MORAES	""	""	NO SEMAFORO Nº534 E EM FRENTE DA EUROVIA RENAULT	AV MARECHAL MASCARENHAS DE MORAES	0	NO SEMAFORO Nº534 E EM FRENTE DA EUROVIA RENAULT	IMBIRIBEIRA	COLISÃO	COL.S/V SET/AEROPORTO	2									0	
10	2016-01-01T00:00:00	08:35:00	COM VÍTIMA	FINALIZADA	BOA VIAGEM	AV ENGENHEIRO DOMINGOS FERREIRA	""	""	SEMAFORO 142,CRUZAMENTO DA CLINICAL CENTER	AV ENGENHEIRO DOMINGOS FERREIRA	0	SEMAFORO 142,CRUZAMENTO DA CLINICAL CENTER	BOA VIAGEM	COLISÃO	COLISÃO COM VITIMA,AQUARDANDO SAMU		1						1		1	
11	2016-01-01T00:00:00	10:00:00	SEM VÍTIMA	FINALIZADA	CASA AMARELA	AV DR EURICO CHAVES	603	""	EM FRENTE A IGREJA BATISTA DO MONTEIRO	AV DR EURICO CHAVES	603	EM FRENTE A IGREJA BATISTA DO MONTEIRO	CASA AMARELA	COLISÃO	COLISÃO SEM VÍTIMA	2									0	
12	2016-01-01T00:00:00	10:31:00	SEM VÍTIMA	FINALIZADA	AFOGADOS	RUA SAO MIGUEL	293	""	E/F A SÃO MIGUEL AUTO PEÇAS, AO DO BANCO DO BRASIL. SENTIDO SUBÚRBIO ( SEMÁFORO Nº333)	RUA SAO MIGUEL	293	E/F A SÃO MIGUEL AUTO PEÇAS, AO DO BANCO DO BRASIL. SENTIDO SUBÚRBIO ( SEMÁFORO Nº333)	AFOGADOS	COLISÃO	SEM VÍTIMAS	2									0	
13	2016-01-01T00:00:00	16:00:00	SEM VÍTIMA	FINALIZADA	TORRE	RUA ODETE MONTEIRO	""	""	COM A RUA PROFESSOR ESTEVAO FRANCISCO DA COSTA PROX DA PADARIA RAINHA DA TORRE	RUA ODETE MONTEIRO	0	COM A RUA PROFESSOR ESTEVAO FRANCISCO DA COSTA PROX DA PADARIA RAINHA DA TORRE	TORRE	COLISÃO	COLISAO DE DOIS AUTOS S/V	2									0	
14	2016-01-01T00:00:00	16:37:00	SEM VÍTIMA	FINALIZADA	SAN MARTIN	AV GENERAL SAN MARTIN	""	""	E/F DA CAVALARIA	AV GENERAL SAN MARTIN	0	E/F DA CAVALARIA	SAN MARTIN	COLISÃO	COLISAO DE MOTO E AUTO S/V	1	1								0	
15	2016-01-01T00:00:00	16:56:00	SEM VÍTIMA	CANCELADA	JORDÃO	RUA RIO XINGU	""	""	NA ENTRADO DO JORDAO E/F DA BIG VALE	RUA RIO XINGU	0	NA ENTRADO DO JORDAO E/F DA BIG VALE	JORDÃO	COLISÃO	COLISAO DE DOIS AUTOS S/V	2									0	
16	2016-01-01T00:00:00	18:30:00	COM VÍTIMA	FINALIZADA	JAQUEIRA	AV RUI BARBOSA	X	""	EM FRENTE AO PARQUE DA JAQUEIRA	AV RUI BARBOSA	X	EM FRENTE AO PARQUE DA JAQUEIRA	JAQUEIRA	COLISÃO	COLISÃO ENTRE QUATRO AUTO, SEGUINTE DE UM CAPOTAMENTO DE UM DOS VEICULOS	4									1	
17	2016-01-01T00:00:00	18:35:00	SEM VÍTIMA	CANCELADA	CASA FORTE	AV DEZESSETE DE AGOSTO	272	""	EM FRENTE AO RECANTO PARAIBANO	AV DEZESSETE DE AGOSTO	272	EM FRENTE AO RECANTO PARAIBANO	CASA FORTE	COLISÃO	COLISÃO ENTRE DOIS AUTO S/V	2									0	
18	2016-01-01T00:00:00	23:09:00	COM VÍTIMA	FINALIZADA	BEBERIBE	AV BEBERIBE	4510	""	NO POSTO DE SAUDE DE BEBERIBE	AV BEBERIBE	4510	NO POSTO DE SAUDE DE BEBERIBE	BEBERIBE	ATROPELAMENTO	VEICULO SOBE CALÇADA E PEGA PEDESTRE QUEBRANDO MURO DO POSTO	1				1					1	
19	2016-01-02T00:00:00	00:12:00	SEM VÍTIMA	CANCELADA	DERBY	RUA GUILHERME PINTO	""	""	PERTO DA ACADEMIA TRENO // CRUZAMENTO COM A RUA JOAQUIM NABUCO	RUA GUILHERME PINTO	0	PERTO DA ACADEMIA TRENO // CRUZAMENTO COM A RUA JOAQUIM NABUCO	DERBY	CHOQUE	CONDUTOR PERDEU O CONTROLE DO VEÍCULO E SE CHOCOU CONTRA O MURO DO EDIFÍCIO	1									0	
