_id	Protocolo	data	hora	natureza	situacao	bairro	endereco	numero	detalhe_endereco_acidente	complemento	bairro_cruzamento	num_semaforo	sentido_via	tipo	auto	moto	ciclom	ciclista	pedestre	onibus	caminhao	viatura	outros	vitimas	vitimasfatais	acidente_verificado	tempo_clima	situacao_semaforo	sinalizacao	condicao_via	conservacao_via	ponto_controle	situacao_placa	velocidade_max_via	mao_direcao	divisao_via1	divisao_via2	divisao_via3
1	202300005,0	2023-01-01T00:00:00	03:37:00	COM VÍTIMA	FINALIZADA	MADALENA	AV ENGENHEIRO ABDIAS DE CARVALHO	167	""	E/F AO POSTO BR - ANTES DA FIR - SENTIDO SUB/CID	MADALENA	""	CIDADE	ATROPELAMENTO DE PESSOA	1,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
2	202300009,0	2023-01-01T00:00:00	08:28:00	COM VÍTIMA	FINALIZADA	BONGI	AV ENGENHEIRO ABDIAS DE CARVALHO	758	RUA CARLOS GOMES	EM FRENTE AO POSTO DE GASOLINA DISLUB	BONGI	""	SUBURBIO	COLISÃO LATERAL	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
3	202300019,0	2023-01-01T00:00:00	10:39:00	COM VÍTIMA	FINALIZADA	JAQUEIRA	RUA MUNIZ TAVARES	""	AV RUI BARBOSA	DE ESQUINA COM O HOSPITAL MARIA LUCINDA	JAQUEIRA	460,0	CIDADE	COLISÃO LATERAL	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
4	202300022,0	2023-01-01T00:00:00	12:41:00	SEM VÍTIMA	FINALIZADA	BOA VIAGEM	AV BOA VIAGEM	457	""	PROX AO SEMAFORO 152 E PROX AO CASTELINHO	BOA VIAGEM	""	""	COLISÃO TRASEIRA	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
5	202300037,0	2023-01-01T00:00:00	03:44:00	COM VÍTIMA	FINALIZADA	BOA VIAGEM	AV ENGENHEIRO DOMINGOS FERREIRA	1971	""	PROX A  PRAÇA CIDADE DO PORTO	BOA VIAGEM	""	""	ATROPELAMENTO DE PESSOA	1,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
6	202300042,0	2023-01-01T00:00:00	04:35:00	COM VÍTIMA	FINALIZADA	SAN MARTIN	AV GENERAL SAN MARTIN	""	AV CONSUL VILARES FRAGOSO	DE FRENTE A CAVALARIA	SAN MARTIN	""	""	COLISÃO FRONTAL	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
7	202300043,0	2023-01-01T00:00:00	05:34:00	SEM VÍTIMA	FINALIZADA	PINA	AVENIDA CELSO FURTADO (VIA MANGUE)	""	RUA TOME GIBSON	CANTEIRO CENTRAL DA VIA MANGUE	PINA	""	CIDADE	CHOQUE	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
8	202300051,0	2023-01-01T00:00:00	08:07:00	SEM VÍTIMA	FINALIZADA	IPUTINGA	RUA SAO MATEUS	23	RUA ANTONIO CARLOS RIBEIRO DE ANDRADE	""	IPUTINGA	""	""	COLISÃO FRONTAL	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
9	202300113,0	2023-01-02T00:00:00	05:34:00	COM VÍTIMA	FINALIZADA	IMBIRIBEIRA	AV MARECHAL MASCARENHAS DE MORAES	""	RUA CORONEL FABRICIANO	AO LADO DO ATACADÃO	IMBIRIBEIRA	310,0	CIDADE	COLISÃO LATERAL	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
10	202300114,0	2023-01-02T00:00:00	06:04:00	COM VÍTIMA	FINALIZADA	BOA VIAGEM	AV ARMINDO MOURA	656	""	VILA MILITAR	BOA VIAGEM	529,0	SUBURBIO	COLISÃO LATERAL	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	2,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
